제목,지역,분류,조회수,평점,북마크,url,주소
홍미닭발,봉천/신림,닭볶음탕/닭갈비/닭발,80348,3.9,8,https://www.siksinhot.com/P/251493, 서울특별시 관악구 신림로68길 7
VALUTO,봉천/신림,카페/커피숍,62923,3.8,3,https://www.siksinhot.com/P/480981, 서울특별시 관악구 신림로23길 28
마이무,서울대/샤로수길/낙성대,아시아기타,890010,3.8,10,https://www.siksinhot.com/P/480531, 서울특별시 관악구 낙성대로 22-10 
우리가 참순대,서울대/샤로수길/낙성대,순댓국/순대,50091,3.8,1,https://www.siksinhot.com/P/449747, 서울특별시 관악구 관악로 148
르브와 신림점,봉천/신림,이탈리안,979623,3.8,23,https://www.siksinhot.com/P/354638, 서울특별시 관악구 신원로 34
정담은보쌈,봉천/신림,족발/보쌈,1344419,3.8,19,https://www.siksinhot.com/P/348029, 서울특별시 관악구 남부순환로 1661
고앤고(낙성대점),서울대/샤로수길/낙성대,돼지갈비,848110,3.8,10,https://www.siksinhot.com/P/339629, 서울특별시 관악구 남부순환로 1879 
지구당,서울대/샤로수길/낙성대,일식,1671175,3.8,75,https://www.siksinhot.com/P/255023, 서울특별시 관악구 관악로12길 5
딱좋아횟집,서울대/샤로수길/낙성대,회/횟집/참치,905312,3.8,12,https://www.siksinhot.com/P/255088, 서울특별시 관악구 인헌2길 20
고앤고 신림점,봉천/신림,돼지갈비,1245811,3.7,11,https://www.siksinhot.com/P/354815, 서울특별시 관악구 남부순환로 1665 1층
담양죽순추어탕 ,사당/이수,전골,1083410,3.7,10,https://www.siksinhot.com/P/318955,담양죽순추어탕  
시골집,서울대/샤로수길/낙성대,한정식,1022040,3.7,40,https://www.siksinhot.com/P/255018, 서울특별시 관악구 낙성대로 22-7 
라티놀,서울대/샤로수길/낙성대,떡볶이/라면/분식,604011,3.7,11,https://www.siksinhot.com/P/255039, 서울특별시 관악구 관악로 154-5
삼미옥,서울대/샤로수길/낙성대,설렁탕/곰탕/갈비탕,836314,3.7,14,https://www.siksinhot.com/P/255055, 서울특별시 관악구 남부순환로 1829-6
온정돈까스,봉천/신림,경양식/돈가스,82194,3.6,4,https://www.siksinhot.com/P/482463, 서울특별시 관악구 조원로 60 
오후의과일,서울대/샤로수길/낙성대,카페/커피숍,67653,3.6,3,https://www.siksinhot.com/P/481965, 서울특별시 관악구 관악로14길 15 
깡통닭갈비,봉천/신림,닭볶음탕/닭갈비/닭발,71287,3.6,7,https://www.siksinhot.com/P/466873, 서울 관악구 남부순환로 1597-14
펠리치따,서울대/샤로수길/낙성대,아이스크림,37483,3.6,3,https://www.siksinhot.com/P/377595, 서울특별시 관악구 남부순환로 1922
만성찬팅,봉천/신림,중식,69291,3.6,1,https://www.siksinhot.com/P/377377, 서울특별시 관악구 신림로 322-4
도리도리하찌,서울대/샤로수길/낙성대,닭볶음탕/닭갈비/닭발,734812,3.6,12,https://www.siksinhot.com/P/373234, 서울특별시 관악구 관악로14길 77
두부공작소 사당점,사당/이수,한식기타,70763,3.6,3,https://www.siksinhot.com/P/360459, 서울특별시 관악구 남현2길 4 
통영장어잡는날 신림직영점,봉천/신림,장어/꼼장어,1219914,3.6,14,https://www.siksinhot.com/P/354836, 서울특별시 관악구 대학길 103 
낭풍김치찌개 신림점,봉천/신림,한정식,827615,3.6,15,https://www.siksinhot.com/P/251520, 서울특별시 관악구 신림로 309 
